Date,Open,High,Low,Close,Volume,Adj Close
2006-02-06,16736.230469,16777.369141,16090.929688,16257.830078,143400,16257.830078
2006-01-30,16615.910156,16754.599609,16480.089844,16659.640625,158100,16659.640625
2006-01-23,15497.610352,16460.679688,15312.709961,16460.679688,124400,16460.679688
2006-01-16,16360.040039,16387.630859,15059.519531,15696.69043,142900,15696.69043
2006-01-10,16487.050781,16490.269531,16005.240234,16454.949219,142000,16454.949219
2006-01-04,16294.650391,16479.550781,16250.759766,16428.210938,143000,16428.210938
2005-12-26,16027.660156,16445.560547,15911.230469,16111.429688,84000,16111.429688
2005-12-19,15252.150391,16010.169922,15196.00,15941.370117,129200,15941.370117
2005-12-12,15549.650391,15885.519531,15095.55957,15173.070312,190600,15173.070312
2005-12-05,15413.519531,15572.719727,15117.150391,15404.049805,197300,15404.049805
2005-11-28,14847.580078,15421.599609,14821.75,15421.599609,152200,15421.599609
2005-11-21,14719.280273,14866.990234,14590.55957,14784.290039,139400,14784.290039
2005-11-14,14218.719727,14633.349609,14015.620117,14623.120117,165800,14623.120117
2005-11-07,14084.110352,14206.139648,13951.400391,14155.05957,220100,14155.05957
2005-10-31,13459.990234,14099.490234,13456.070312,14075.959961,190100,14075.959961
2005-10-24,13232.410156,13501.240234,13083.040039,13346.540039,146500,13346.540039
2005-10-17,13486.179688,13510.629883,12996.290039,13199.950195,159800,13199.950195
2005-10-11,13280.330078,13704.089844,13241.839844,13420.540039,160900,13420.540039
2005-10-03,13566.200195,13783.599609,13221.330078,13227.740234,185800,13227.740234
2005-09-26,13229.269531,13678.44043,13229.269531,13574.299805,220600,13574.299805
2005-09-20,12991.629883,13235.419922,12991.629883,13159.360352,197800,13159.360352
2005-09-12,12841.019531,12992.990234,12806.709961,12958.679688,139900,12958.679688
2005-09-05,12616.299805,12730.209961,12498.400391,12692.040039,134800,12692.040039
2005-08-29,12386.759766,12600.00,12274.80957,12600.00,95100,12600.00
2005-08-22,12330.700195,12612.160156,12330.700195,12439.480469,107100,12439.480469
2005-08-15,12254.530273,12369.740234,12219.519531,12291.730469,109200,12291.730469
2005-08-08,11670.709961,12324.429688,11614.709961,12261.679688,108300,12261.679688
2005-08-01,11907.419922,12009.55957,11724.610352,11766.480469,89300,11766.480469
2005-07-25,11721.700195,11913.50,11718.660156,11899.599609,74700,11899.599609
2005-07-19,11761.610352,11867.230469,11650.370117,11695.049805,76600,11695.049805
2005-07-11,11676.969727,11828.30957,11659.650391,11758.679688,65200,11758.679688
2005-07-04,11664.219727,11676.200195,11563.839844,11565.990234,70800,11565.990234
2005-06-27,11445.639648,11663.660156,11378.990234,11630.129883,53300,11630.129883
2005-06-20,11539.179688,11576.75,11445.429688,11537.030273,66900,11537.030273
2005-06-13,11308.650391,11514.030273,11299.780273,11514.030273,78900,11514.030273
2005-06-06,11232.650391,11331.370117,11148.360352,11304.230469,81000,11304.230469
2005-05-30,11201.320312,11374.69043,11197.790039,11300.049805,76900,11300.049805
2005-05-23,11073.009766,11199.230469,10978.849609,11192.330078,74800,11192.330078
2005-05-16,11045.290039,11110.450195,10788.589844,11037.290039,78000,11037.290039
2005-05-09,11199.099609,11211.360352,11017.790039,11049.110352,77500,11049.110352
2005-05-02,10954.209961,11192.169922,10913.969727,11192.169922,67600,11192.169922
2005-04-25,11064.950195,11114.450195,10892.709961,11008.900391,77900,11008.900391
2005-04-18,11223.650391,11223.650391,10770.580078,11045.950195,100100,11045.950195
2005-04-11,11847.919922,11847.919922,11343.730469,11370.69043,75400,11370.69043
2005-04-04,11666.30957,11911.900391,11652.660156,11874.75,81200,11874.75
2005-03-28,11709.790039,11816.719727,11506.849609,11723.629883,77600,11723.629883
2005-03-22,11867.339844,11889.129883,11681.160156,11761.099609,84500,11761.099609
2005-03-14,11947.290039,11955.290039,11754.980469,11879.80957,82100,11879.80957
2005-03-07,11935.799805,11975.459961,11838.019531,11923.889648,114600,11923.889648
2005-02-28,11742.009766,11881.980469,11704.320312,11873.049805,98900,11873.049805
2005-02-21,11682.19043,11690.490234,11452.419922,11658.25,70900,11658.25
2005-02-14,11644.400391,11684.910156,11562.929688,11660.120117,83400,11660.120117
2005-02-07,11393.040039,11553.730469,11381.780273,11553.55957,100300,11553.55957
2005-01-31,11296.990234,11467.50,11266.089844,11360.400391,97500,11360.400391
2005-01-24,11213.030273,11390.089844,11212.629883,11320.580078,87700,11320.580078
2005-01-17,11475.200195,11535.860352,11222.240234,11238.370117,91400,11238.370117
2005-01-11,11495.459961,11580.69043,11320.490234,11438.389648,88400,11438.389648
2005-01-04,11458.269531,11547.019531,11372.209961,11433.240234,69400,11433.240234
2004-12-27,11374.519531,11500.950195,11314.400391,11488.759766,50200,11488.759766
2004-12-20,11073.549805,11369.980469,11036.799805,11365.480469,69600,11365.480469
2004-12-13,10825.05957,11130.820312,10785.589844,11078.320312,66200,11078.320312
2004-12-06,11021.160156,11026.860352,10730.379883,10756.799805,83900,10756.799805
2004-11-29,10844.360352,11107.099609,10721.589844,11074.889648,69900,11074.889648
2004-11-22,10956.410156,10956.410156,10769.519531,10833.75,64200,10833.75
2004-11-15,11079.169922,11268.80957,11062.730469,11082.839844,73600,11082.839844
2004-11-08,11095.50,11096.450195,10841.429688,11019.980469,66800,11019.980469
2004-11-01,10731.019531,11089.599609,10690.950195,11061.769531,74800,11061.769531
2004-10-25,10718.929688,10895.089844,10575.230469,10771.419922,77500,10771.419922
2004-10-18,11022.110352,11106.820312,10753.070312,10857.129883,73900,10857.129883
2004-10-12,11295.049805,11320.790039,10913.209961,10982.950195,80100,10982.950195
2004-10-04,11111.450195,11410.400391,11105.00,11349.349609,85200,11349.349609
2004-09-27,10863.349609,10987.179688,10737.780273,10985.169922,69400,10985.169922
2004-09-21,11148.209961,11151.110352,10826.400391,10895.160156,75700,10895.160156
2004-09-13,11139.969727,11352.419922,11046.099609,11082.490234,85400,11082.490234
2004-09-06,11086.69043,11357.849609,10960.030273,11083.230469,91800,11083.230469
2004-08-30,11181.299805,11226.299805,11013.360352,11022.490234,66000,11022.490234
2004-08-23,10961.910156,11225.950195,10897.110352,11209.589844,74100,11209.589844
2004-08-16,10728.980469,10938.94043,10545.889648,10889.139648,58800,10889.139648
2004-08-09,10827.599609,11091.639648,10737.419922,10757.200195,64700,10757.200195
2004-08-02,11274.450195,11279.709961,10888.780273,10972.570312,73000,10972.570312
2004-07-26,11099.870117,11325.990234,11018.790039,11325.780273,65600,11325.780273
2004-07-20,11318.139648,11433.860352,11170.540039,11187.330078,59500,11187.330078
2004-07-12,11532.639648,11664.00,11243.280273,11436.00,75000,11436.00
2004-07-05,11622.849609,11648.849609,11251.349609,11423.530273,61800,11423.530273
2004-06-28,11801.879883,11988.120117,11693.00,11721.490234,68200,11721.490234
2004-06-21,11474.389648,11780.400391,11472.080078,11780.400391,76800,11780.400391
2004-06-14,11495.799805,11673.480469,11310.160156,11382.080078,68400,11382.080078
2004-06-07,11212.639648,11637.730469,11212.639648,11526.820312,89600,11526.820312
2004-05-31,11288.790039,11358.509766,10963.55957,11128.049805,77500,11128.049805
2004-05-24,11094.709961,11345.400391,10927.44043,11309.570312,77600,11309.570312
2004-05-17,10790.790039,11076.429688,10489.839844,11070.25,94400,11070.25
2004-05-10,11384.030273,11392.790039,10739.490234,10849.629883,112800,10849.629883
2004-05-06,11777.44043,11785.259766,11438.820312,11438.820312,97600,11438.820312
2004-04-26,12135.30957,12195.660156,11652.169922,11761.790039,106100,11761.790039
2004-04-19,11854.639648,12120.660156,11623.650391,12120.660156,111500,12120.660156
2004-04-12,11926.480469,12189.980469,11690.240234,11824.55957,135300,11824.55957
2004-04-05,11949.30957,12119.30957,11862.339844,11897.509766,116500,11897.509766
2004-03-29,11775.459961,11869.00,11592.830078,11815.950195,82900,11815.950195
2004-03-22,11332.240234,11782.179688,11071.660156,11770.650391,104300,11770.650391
2004-03-15,11284.349609,11647.709961,11236.349609,11418.509766,96600,11418.509766
2004-03-08,11578.019531,11643.370117,11045.94043,11162.75,121000,11162.75
2004-03-01,11112.679688,11537.290039,11096.679688,11537.290039,118600,11537.290039
2004-02-23,10745.049805,11069.280273,10617.860352,11041.919922,64400,11041.919922
2004-02-16,10566.019531,10813.05957,10529.259766,10720.69043,66900,10720.69043
2004-02-09,10533.400391,10595.94043,10299.429688,10557.69043,67200,10557.69043
2004-02-02,10784.929688,10861.969727,10374.900391,10460.919922,71100,10460.919922
2004-01-26,11004.44043,11075.299805,10666.549805,10783.610352,66400,10783.610352
2004-01-19,10937.459961,11193.639648,10916.990234,11069.009766,82900,11069.009766
2004-01-13,10965.610352,10965.610352,10665.150391,10857.200195,81900,10857.200195
2004-01-05,10787.830078,11008.55957,10710.299805,10965.049805,72200,10965.049805
2003-12-29,10454.69043,10681.280273,10454.69043,10676.639648,45800,10676.639648
2003-12-22,10248.80957,10417.410156,10248.620117,10417.410156,52200,10417.410156
2003-12-15,10308.339844,10490.769531,10058.339844,10284.540039,63200,10284.540039
2003-12-08,10281.25,10293.740234,9859.00,10169.660156,67400,10169.660156
2003-12-01,10006.129883,10552.349609,9911.919922,10373.459961,63900,10373.459961
2003-11-25,9976.129883,10173.599609,9959.509766,10100.570312,55400,10100.570312
2003-11-17,10077.879883,10077.879883,9614.599609,9852.830078,74100,9852.830078
2003-11-10,10592.349609,10617.980469,10112.099609,10167.05957,73500,10167.05957
2003-11-04,10693.660156,10869.349609,10479.25,10628.980469,78100,10628.980469
2003-10-27,10360.860352,10791.75,10349.759766,10559.589844,68200,10559.589844
2003-10-20,10988.480469,11238.629883,10186.769531,10335.700195,95000,10335.700195
2003-10-14,10873.299805,11112.290039,10831.759766,11037.889648,103600,11037.889648
2003-10-06,10813.55957,10905.19043,10485.599609,10786.040039,83600,10786.040039
2003-09-29,10303.259766,10726.919922,10148.360352,10709.290039,86200,10709.290039
2003-09-22,10858.089844,10858.089844,10213.75,10318.44043,98800,10318.44043
2003-09-16,10786.330078,11160.19043,10758.330078,10938.419922,102900,10938.419922
2003-09-08,10584.360352,10938.299805,10540.280273,10712.80957,88400,10712.80957
2003-09-01,10399.530273,10813.589844,10381.980469,10650.769531,92300,10650.769531
2003-08-25,10264.610352,10415.530273,10171.169922,10343.549805,84200,10343.549805
2003-08-18,9933.549805,10378.129883,9933.549805,10281.169922,101800,10281.169922
2003-08-11,9349.049805,10038.089844,9332.469727,9863.469727,75800,9863.469727
2003-08-04,9538.94043,9538.94043,9224.049805,9327.530273,69100,9327.530273
2003-07-28,9750.200195,9932.179688,9507.389648,9611.669922,75400,9611.669922
2003-07-22,9501.589844,9718.379883,9406.490234,9648.009766,72100,9648.009766
2003-07-14,9713.959961,9909.650391,9460.280273,9527.730469,70100,9527.730469
2003-07-07,9589.19043,10070.110352,9589.19043,9635.349609,100000,9635.349609
2003-06-30,9119.589844,9896.639648,9076.620117,9547.730469,111000,9547.730469
2003-06-23,9112.55957,9172.530273,8846.75,9104.05957,80700,9104.05957
2003-06-16,8923.790039,9188.950195,8809.469727,9120.389648,71400,9120.389648
2003-06-09,8790.030273,9020.889648,8716.620117,8980.639648,93400,8980.639648
2003-06-02,8490.219727,8814.040039,8488.889648,8785.870117,78300,8785.870117
2003-05-26,8192.120117,8461.730469,8106.899902,8424.509766,56300,8424.509766
2003-05-19,8091.390137,8219.870117,7962.370117,8184.759766,61400,8184.759766
2003-05-12,8193.730469,8339.070312,8080.529785,8117.290039,59700,8117.290039
2003-05-06,7995.490234,8156.00,7995.490234,8152.160156,59400,8152.160156
